Community Name,Latitude,Longitude
Albany Park,41.961451,-87.696929
Archer Heights,41.807749,-87.722579
Armour Square,41.853035,-87.630782
Ashburn,41.749095,-87.679637
Auburn Gresham,41.752451,-87.652969
Austin,41.882286,-87.76498
Avalon Park,41.736969,-87.587714
Avondale,41.937633,-87.69319
Belmont Cragin,41.916967,-87.782607
Beverly,41.711666,-87.681963
Bridgeport,41.830539,-87.651757
Brighton Park,41.80766,-87.685081
Burnside,41.722116,-87.604387
Calumet Heights,41.733062,-87.589725
Chatham,41.736354,-87.626741
Chicago Lawn,41.764585,-87.682253
Clearing,41.775271,-87.751894
Douglas,41.831062,-87.626001
Dunning,41.938764,-87.806595
East Garfield Park,41.880745,-87.706283
East Side,41.712353,-87.53545
Edgewater,41.983811,-87.656762
Edison Park,41.997185,-87.807251
Englewood,41.759532,-87.64991
Forest Glen,41.990214,-87.733479
Fuller Park,41.79476,-87.629295
Gage Park,41.80193,-87.680903
Garfield Ridge,41.785894,-87.738031
Grand Boulevard,41.80209,-87.622105
Greater Grand Crossing,41.757695,-87.599148
Hegewisch,41.681136,-87.54029
Hermosa,41.921786,-87.739089
Humboldt Park,41.901438,-87.726428
Hyde Park,41.793383,-87.597777
Irving Park,41.959528,-87.698606
Jefferson Park,41.96784,-87.767441
Kenwood,41.809728,-87.600232
Lake View,41.94737,-87.654465
Lincoln Park,41.917967,-87.653438
Lincoln Square,41.968913,-87.674871
Logan Square,41.917349,-87.666405
The Loop,41.879382,-87.627517
Lower West Side,41.855086,-87.653898
McKinley Park,41.823324,-87.659951
Montclare,41.924516,-87.806212
Morgan Park,41.698728,-87.681558
Mount Greenwood,41.711137,-87.720903
Near North Side,41.893974,-87.627945
Near South Side,41.851248,-87.623476
Near West Side,41.881643,-87.647206
New City,41.80859,-87.6561
North Center,41.954342,-87.674439
North Lawndale,41.867831,-87.710387
North Park,41.975852,-87.70637
Norwood Park,41.974605,-87.811817
Oakland,41.830917,-87.605401
O'Hare,41.965897,-87.836965
Portage Park,41.938749,-87.761451
Pullman,41.712854,-87.59227
Riverdale,41.659014,-87.610723
Rogers Park,42.003801,-87.657651
Roseland,41.711548,-87.620169
South Chicago,41.751494,-87.580771
South Deering,41.70838,-87.581455
South Lawndale,41.853535,-87.699305
South Shore,41.767683,-87.590406
Uptown,41.961609,-87.65537
Washington Heights,41.698782,-87.647671
Washington Park,41.8019,-87.625808
West Elsdon,41.792507,-87.716436
West Englewood,41.788541,-87.65621
West Garfield Park,41.880839,-87.727945
West Lawn,41.777732,-87.713878
West Pullman,41.672371,-87.649842
West Ridge,41.992071,-87.675487
West Town,41.899386,-87.696928
Woodlawn,41.88082,-87.62064
